;sl_cup_ranger_1.coef;sl_cup_ranger_1.cvRisk;
ranger_250_1_All;0;1.18217864917823;mtry=2,3,4
ranger_350_1_All;0;1.17911718733074;numtree=150,250,350,500,750,1000, 1250,1500,1750,2000,2250,2500
ranger_500_1_All;0;1.1735688660319;
ranger_1000_1_All;0;1.17078514113456;
ranger_1500_1_All;0;1.1795851998867;
ranger_2000_1_All;0;1.1683145253426;
ranger_2500_1_All;0;1.16820533496037;
ranger_3000_1_All;0;1.16848246868874;
ranger_4000_1_All;0;1.16924026054639;
ranger_250_2_All;0.131451169358598;1.08226068781462;
ranger_350_2_All;0;1.087873360079;
ranger_500_2_All;0;1.08282488731439;
ranger_1000_2_All;0;1.08160643344891;
ranger_1500_2_All;0;1.08025967776398;
ranger_2000_2_All;0;1.08009892587627;
ranger_2500_2_All;0.17030621454601;1.07820490933797;
ranger_3000_2_All;0;1.07947251453554;
ranger_4000_2_All;0.00360628407658783;1.07841802165697;
ranger_250_3_All;0.00586962800772032;1.0807933983608;
ranger_350_3_All;0;1.08811143922373;
ranger_500_3_All;0.395348785098047;1.07290341767778;
ranger_1000_3_All;0.0398200528888322;1.0743567681174;
ranger_1500_3_All;0.0373958848539543;1.07349457778174;
ranger_2000_3_All;0.216201981170251;1.07310854828761;
ranger_2500_3_All;0;1.07374696416393;
ranger_3000_3_All;0;1.07309071752566;
ranger_4000_3_All;0;1.07520467338434;
ranger_250_4_All;0;1.10679196572132;
ranger_350_4_All;0;1.09054468676092;
ranger_500_4_All;0;1.10185759813698;
ranger_1000_4_All;0;1.08464309145851;
ranger_1500_4_All;0;1.08850052709774;
ranger_2000_4_All;0;1.0849314682722;
ranger_2500_4_All;0;1.0879729945812;
ranger_3000_4_All;0;1.08897521536496;
ranger_4000_4_All;0;1.08792395996982;
ranger_250_5_All;0;1.11219797703405;
ranger_350_5_All;0;1.10697517833231;
ranger_500_5_All;0;1.10576511366227;
ranger_1000_5_All;0;1.10565701539468;
ranger_1500_5_All;0;1.10889633416492;
ranger_2000_5_All;0;1.1029404777936;
ranger_2500_5_All;0;1.10805249920333;
ranger_3000_5_All;0;1.10342369923092;
ranger_4000_5_All;0;1.10358130595226;
ranger_250_6_All;0;1.14137685974955;
ranger_350_6_All;0;1.12057950825511;
ranger_500_6_All;0;1.12620240328319;
ranger_1000_6_All;0;1.12914602925951;
ranger_1500_6_All;0;1.1341260899669;
ranger_2000_6_All;0;1.12610780215579;
ranger_2500_6_All;0;1.12551629052395;
ranger_3000_6_All;0;1.124140474724;
ranger_4000_6_All;0;1.12377326535103;
ranger_250_7_All;0;1.15601548858459;
ranger_350_7_All;0;1.1456609385227;
ranger_500_7_All;0;1.15117218220673;
ranger_1000_7_All;0;1.15289342522508;
ranger_1500_7_All;0;1.1394339052173;
ranger_2000_7_All;0;1.14341206955482;
ranger_2500_7_All;0;1.14571567282842;
ranger_3000_7_All;0;1.14312120936587;
ranger_4000_7_All;0;1.14297759531987;
ranger_250_8_All;0;1.1747394339972;
ranger_350_8_All;0;1.15908146850781;
ranger_500_8_All;0;1.16181036705907;
ranger_1000_8_All;0;1.1613586455258;
ranger_1500_8_All;0;1.1648141639364;
ranger_2000_8_All;0;1.1640738492619;
ranger_2500_8_All;0;1.16865602170978;
ranger_3000_8_All;0;1.16029668319373;
ranger_4000_8_All;0;1.16130563857278;
ranger_250_9_All;0;1.16387406569562;
ranger_350_9_All;0;1.1844802276318;
ranger_500_9_All;0;1.18299311337126;
ranger_1000_9_All;0;1.17977706456035;
ranger_1500_9_All;0;1.18764399596022;
ranger_2000_9_All;0;1.17970309451481;
ranger_2500_9_All;0;1.18336038331325;
ranger_3000_9_All;0;1.18559482925905;
ranger_4000_9_All;0;1.18800187305563;